"place","enLabel","placeLabel","toponyms","geometry","typeLabel","country"
"Q2469418","Kursi","كرسي هضبة الجولان","كرسي هضبة الجولان","Point(35.650377777 32.826086111)","national park","Q801"
"Q1606585","Stella Maris Monastery","دير ستيلا ماريس","دير ستيلا ماريس","Point(34.970278 32.826667)","monastery","Q801"
"Q3583648","St. Peter & St. Paul Church, Shefa-Amr","كنيسة بطرس وبولس","كنيسه بطرس وبولس، كنيسة بطرس وبولس","Point(35.17002 32.805582)","church building","Q801"
"Q12408509","Wedding Church at Cana","كنيسة العرس في قانا","كنيسة العرس في قانا","Point(35.3386 32.7467)","church building","Q801"
"Q6918334","Makan shaab aldin","مقام شهاب الدين","مقام شهاب الدين","Point(35.2975 32.7017)","Maqam (shrine)","Q801"
"Q333594","Church of Maria Magdalene","كنيسة مريم المجدلية","كنيسه مريم المجدليه، كنيسة مريم المجدلية","Point(35.240745 31.77889)","Eastern Orthodox church","Q801"
"Q1383277","Mamilla Cemetery","مقبرة مامن الله","مقبرة مامن الله","Point(35.220556 31.778056)","archaeological site","Q801"
"Q5293153","Greek Orthodox Church of the Annunciation","كنيسة البشارة للروم الارثوذكس","كنيسة البشارة للروم الارثوذكس","Point(35.3015925 32.7069827)","Eastern Orthodox church","Q801"
"Q130815","Basilica of the Annunciation","بازيليكا البشارة","بازيليكا البشارة","Point(35.29769 32.70214)","minor basilica","Q801"
"Q18050445","Latrun Abbey","دير اللطرون","دير اللطرون","Point(34.9831 31.8315)","abbey","Q801"
"Q6745966","St. Bartholomew the Apostle Church, Kafr Kanna","كنيسة القديس برثولماوس الرسول","كنيسة القديس برثولماوس الرسول","Point(35.3383 32.7475)","church building","Q801"
"Q7295803","Ratisbonne Monastery","دير راتسبون","دير راتسبون","Point(35.214371 31.77792)","monastery","Q801"
"Q1331689","Church of All Nations","كنيسة كل الامم","كنيسه كل الامم، كنيسة كل الامم","Point(35.239628 31.779227)","minor basilica","Q801"
"Q223644","Solomon's Temple","هيكل سليمان","مؤسسة جبل الهيكل, مؤسسه جبل الهيكل, معبد سليمان, هيكل يهودي، هيكل سليمان","Point(35.2353 31.7779)","destroyed religious building","Q801"
"Q1551966","St Anne's Church","كنيسة القديسة حنة","كنيسة القديسة حنة","Point(35.236447222 31.7814)","minor basilica","Q801"
"Q1245538","Dormition Abbey","كنيسة رقاد السيدة العذراء","كنيسة رقاد السيدة العذراء","Point(35.22888889 31.77222222)","abbey","Q801"
"Q2916829","Capernaum synagogue","كنيس كفرناحوم","كنيس كفرناحوم","Point(35.575416 32.8810311)","national park","Q801"
"Q1526305","Hebrew Union College – Jewish Institute of Religion – Cincinnati","كلية الاتحاد العبري-المعهد اليهودي للاديان","كلية الاتحاد العبري-المعهد اليهودي للاديان","Point(-84.520392 39.13839)","private not-for-profit educational institution","Q801"
"Q2811571","St. John Baptist Church","كنيسة القديس يوحنا","كنيسه القديس يوحنا، كنيسة القديس يوحنا","Point(35.0672 32.9194)","Catholic church building","Q801"
"Q1499131","Church of the Flagellation","كنيسة الجلد","كنيسة الجلد","Point(35.234366666 31.780536111)","Catholic church building","Q801"
"Q6654471","Franciscan Monastery (Nazareth)","دير الفرنسيسكان","دير الفرنسيسكان","Point(35.2986 32.7033)","monastery","Q801"
"Q7661936","Synagogue Church","كنيسة المجمع","كنيسة المجمع","Point(35.2967 32.7033)","church building","Q801"
"Q966308","Church of St. John the Baptist","كنيسة القديس يوحنا المعمدان القدس","كنيسة القديس يوحنا المعمدان القدس","Point(35.163 31.768)","Catholic church building","Q801"
"Q16567842","Coptic Church of the Annunciation","كنيسة البشارة القبطية","كنيسة البشارة القبطية","Point(35.3022 32.7047)","church building","Q801"
"Q2887142","Basilica of Jesus the Adolescent","كنيسة السالزيان","كنيسة يسوع الشاب، كنيسة السالزيان","Point(35.2947 32.7069)","minor basilica","Q801"
